RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
2,1,4,3,128713,3287,647
2,1,4,3,439,28,0
2,1,4,5,693,268,5
2,1,4,6,63349,541,480
2,1,4,7,65051,1021,300
2,1,4,8,113668,2617,488
2,1,4,8,237,6,1
2,1,4,17,17142,2835,145
2,1,4,17,11311,2133,65
2,1,4,17,74105,2502,160
3,1,4,2,33361,250,282
3,1,4,3,40608,924,190
3,1,4,3,565,416,14
3,1,4,4,4121,526,13
3,1,4,6,9184,46,87
3,1,4,7,212856,5331,1671
3,1,4,8,160395,4828,105
3,1,4,8,134,4,2
3,1,4,8,647,381,2
3,1,4,17,25737,3163,251
3,1,4,17,94227,34488,724
3,1,4,17,38915,2618,236
4,1,4,2,3029,91,38
4,1,4,3,26011,2178,152
4,1,4,3,16858,512,62
4,1,4,4,5787,126,25
4,1,4,7,33176,1163,221
4,1,4,8,197678,753,544
4,1,4,8,521,9,5
4,1,4,8,222,2,3
4,1,4,17,1383,140,19
4,1,4,17,164503,41549,899
5,1,4,1,29713,3122,250
5,1,4,2,637,18,4
5,1,4,3,3907,160,19
5,1,4,3,236749,7184,1393
5,1,4,7,32985,1885,255
5,1,4,8,122457,579,791
5,1,4,8,61125,1636,330
5,1,4,17,534,134,2
5,1,4,17,4158,1525,23
5,1,4,17,1456,519,107
1,1,5,1,119929,75161,384
1,1,5,2,1138,6609,20
1,1,5,3,19811,3602,507
1,1,5,4,208555,4194,637
1,1,5,5,156313,10813,226
1,1,5,6,38527,445,338
1,1,5,7,4003,85,6
1,1,5,8,466778,25669,712
1,1,5,9,49098,386,75
1,1,5,17,78767,13787,315
1,1,5,17,37788,678,132
1,1,5,17,2542,1023,30
2,1,5,1,1794,104,32
2,1,5,2,24552,797,410
2,1,5,3,125229,3214,743
2,1,5,3,433,21,3
2,1,5,5,6504,269,12
2,1,5,6,6124,622,482
2,1,5,7,65368,1,307
2,1,5,8,112744,2474,571
2,1,5,8,335,6,1
2,1,5,17,18104,2863,130
2,1,5,17,11288,2278,64
2,1,5,17,74779,2618,192
3,1,5,2,30187,244,207
3,1,5,3,40604,957,227
3,1,5,3,5795,397,24
3,1,5,4,4113,553,9
3,1,5,6,9174,45,83
3,1,5,7,21029,5226,182
3,1,5,8,149224,5127,1059
3,1,5,8,175,5,2
3,1,5,8,683,459,3
3,1,5,17,25722,3,262
3,1,5,17,92477,3452,844
3,1,5,17,38095,2736,285
4,1,5,2,3066,86,41
4,1,5,3,2575,2482,160
4,1,5,3,16231,673,88
4,1,5,4,5702,123,26
4,1,5,7,329,1276,253
4,1,5,8,1926,1043,556
4,1,5,8,522,10,7
4,1,5,8,222,2,1
4,1,5,17,1411,135,20
4,1,5,17,164245,41261,955
5,1,5,1,29563,342,274
5,1,5,2,457,23,4
5,1,5,3,3844,170,25
5,1,5,3,236768,7477,1716
5,1,5,7,32135,1983,297
5,1,5,8,122585,6222,936
5,1,5,8,61054,1694,307
5,1,5,17,495,163,1
5,1,5,17,421,1483,36
5,1,5,17,14327,534,114
1,1,6,1,120556,80128,299
1,1,6,2,1147,6733,12
1,1,6,3,198883,3568,471
1,1,6,4,19802,42626,454
1,1,6,5,1565,10928,193
1,1,6,6,38445,440,294
1,1,6,7,4122,80,7
1,1,6,8,468453,26053,634
1,1,6,9,49265,377,45
1,1,6,17,78889,14417,269
1,1,6,17,37921,6868,125
1,1,6,17,25659,1047,24
2,1,6,1,18074,1067,25
2,1,6,2,25505,791,351
2,1,6,3,125222,2811,530
2,1,6,3,444,25,3
